NP size_avg,ZOI_drug,ZOI_NP,ZOI_drug_NP,fold_increase_in_antibacterial_activity (%),MDR_check,gram,biosafety_level,MolWt,MolLogP,cal_logs,cal_pka_acidic,cal_rule_of_five
0.11831519167061051,0.6666666666666666,0.105,0.6397838703221934,,1.0,0.0,1.0,0.3768638448760364,0.5995543033150468,0.5607476635514018,0.2780337941628264,1.0
0.11831519167061051,0.6666666666666666,0.105,0.6397838703221934,,1.0,0.0,1.0,0.39688823864006184,0.3516106825262777,0.49065420560747663,0.286226318484383,1.0
0.5915759583530527,0.6666666666666666,0.4166666666666667,0.6397838703221934,,1.0,0.0,1.0,0.3768638448760364,0.5995543033150468,0.5607476635514018,0.2780337941628264,1.0
0.5915759583530527,0.6666666666666666,0.4166666666666667,0.6397838703221934,,1.0,0.0,1.0,0.39688823864006184,0.3516106825262777,0.49065420560747663,0.286226318484383,1.0
0.4259346900141978,0.0,0.23333333333333334,0.33960376225735445,0.975,1.0,1.0,0.0,,0.6054093951157894,0.28037383177570097,0.2657450076804916,0.0
0.4259346900141978,0.0,0.23333333333333334,0.33960376225735445,0.975,1.0,1.0,0.0,0.6943563244087632,0.36171692582840764,0.794392523364486,0.7552483358934973,0.0
0.24846190250828204,0.25,,0.2995797478487092,0.08333333333333333,0.0,1.0,1.0,0.8895743542868788,0.5056670191550222,0.0,0.25448028673835127,0.0
0.6389020350212968,,,,,1.0,1.0,1.0,0.6943563244087632,0.36171692582840764,0.794392523364486,0.7552483358934973,0.0
0.24846190250828204,0.4583333333333333,,1.0,0.5833333333333334,0.0,0.0,1.0,0.331588226471479,0.6204481096924837,0.5140186915887851,0.27854582693292373,1.0
0.24846190250828204,0.9583333333333333,,0.9599759855913549,0.01388888888888889,0.0,0.0,1.0,0.39688823864006184,0.3516106825262777,0.49065420560747663,0.286226318484383,1.0
0.24846190250828204,1.0,,0.9599759855913549,0.0,0.0,0.0,1.0,0.1502169120664234,0.6243940867121355,0.8644859813084111,0.3256528417818741,1.0
